,country,lat,lon,max temp,clouds,wind speed,humidity
291,KR,37.57,126.98,48.2,75,6.93,61
292,CA,60.72,-135.06,37.4,20,12.75,64
293,RU,50.68,36.23,46.4,75,11.18,87
294,PG,-3.15,142.36,79.09,68,3.27,100
295,ZA,-30.97,22.13,72.34,0,2.71,12
296,AU,-20.31,118.58,69.8,0,8.05,88
297,PT,37.72,-25.43,64.4,75,11.41,59
298,MX,27.97,-114.04,84.17,0,4.27,45
299,BR,-32.03,-52.1,71.6,75,10.29,56
300,AU,-20.74,116.85,71.12,0,8.41,70
301,PE,-13.74,-72.9,53.6,75,9.17,54
302,GB,52.47,1.45,42.8,40,6.93,87
303,BR,-3.89,-38.45,86.0,40,18.34,62
304,LK,7.42,81.82,73.15,80,7.74,100
305,BR,-17.73,-39.27,79.22,0,29.89,96
306,CR,10.9,-85.02,86.0,40,6.93,70
307,BR,-21.8,-54.54,79.09,36,4.94,98
308,CA,70.47,-68.59,14.0,75,24.16,85
309,GY,6.8,-58.16,91.4,40,13.87,55
310,BN,5.28,115.24,78.8,75,2.48,94
311,PA,9.52,-79.03,86.0,40,2.24,74
312,GL,61.99,-49.67,37.82,80,33.35,98
313,RU,66.42,112.4,22.07,92,9.31,81
314,AU,-35.36,150.48,59.0,90,14.99,72
315,RU,53.05,158.65,37.4,75,6.71,86
316,SA,18.39,42.45,66.2,40,4.72,88
317,CA,50.03,-66.88,32.0,20,9.17,100
318,AU,-23.7,133.88,66.2,75,5.82,88
319,NO,78.22,15.63,17.6,75,10.29,72
