,country,lat,lon,max temp,clouds,wind speed,humidity
444,US,47.67,-122.12,46.4,90,3.38,100
445,GB,54.08,-0.19,42.8,40,13.87,87
446,LA,18.5,102.42,71.44,48,2.37,100
447,NO,69.67,29.98,28.4,44,13.87,86
448,BR,-8.28,-70.75,83.95,80,4.38,74
449,GY,3.38,-59.8,98.57,0,14.12,38
450,GL,60.14,-45.24,36.43,92,13.67,93
451,PH,12.18,125.51,79.63,80,14.67,92
452,AR,-45.87,-67.48,68.0,40,10.29,45
453,NI,12.92,-85.84,75.2,75,4.7,78
454,RU,68.06,166.44,-2.64,80,2.48,70
455,IE,51.71,-8.52,39.2,40,16.11,100
456,RU,56.73,85.44,43.58,0,8.75,62
457,GB,51.04,-4.21,42.8,75,13.87,93
458,GT,15.75,-89.57,79.54,32,2.59,87
459,BR,-1.83,-65.37,84.17,32,3.6,85
460,PH,14.29,120.72,80.6,40,1.12,88
461,RU,50.36,108.75,33.19,92,7.52,82
462,ES,28.5,-13.86,73.4,20,12.75,73
463,NE,13.51,7.78,84.58,44,4.61,53
464,ZA,-34.05,23.37,65.63,0,16.24,91
465,ID,-2.54,115.51,70.76,8,0.92,97
466,RS,44.37,19.6,69.8,0,16.11,67
467,CN,28.89,110.18,48.53,12,1.92,79
468,CA,49.78,-74.86,28.4,1,4.7,54
469,RU,63.01,112.47,22.52,68,7.85,88
470,RU,51.71,143.23,45.65,100,32.79,99
471,JP,33.72,135.99,60.91,0,13.67,100
472,PY,-26.98,-56.83,75.94,0,6.62,60
473,JP,24.8,125.28,74.23,24,27.2,100
474,US,37.57,-122.38,71.6,75,12.75,77
475,GA,-0.72,8.78,80.6,20,9.17,88
476,CU,22.9,-83.16,85.39,0,5.39,67
477,MN,48.81,103.53,20.63,0,4.16,67
478,RU,53.19,107.35,39.49,36,10.87,88
479,UA,44.91,34.04,53.12,12,11.54,78
480,TM,37.35,59.62,50.56,92,6.73,100
481,ZA,-31.59,28.78,62.6,0,6.93,88
482,SN,14.69,-17.45,82.4,0,11.41,69
483,RU,66.77,123.37,16.31,64,8.3,88
484,RU,51.24,48.77,36.56,8,10.31,87
485,VN,9.18,105.15,80.08,80,5.06,95
486,BR,-4.26,-55.99,95.65,24,3.04,46
487,ZM,-14.8,24.8,79.63,8,10.76,21
488,GA,-1.58,14.26,76.39,24,2.48,89
489,RU,64.29,41.92,30.2,0,4.47,86
490,KZ,52.04,76.93,50.0,0,11.18,43
491,RU,55.24,43.1,28.46,36,7.96,85
492,BR,-15.89,-52.26,95.33,0,10.87,50
493,CN,29.04,114.56,38.9,0,2.15,73
494,GR,36.82,21.7,68.0,40,8.52,72
495,CA,60.82,-115.79,35.6,20,5.82,80
496,US,39.52,-111.59,56.23,12,2.71,50
497,IN,13.22,80.32,80.6,40,2.24,74
498,ID,-7.38,108.21,67.25,80,2.15,100
499,MR,20.52,-13.05,97.58,24,4.5,15
500,ES,42.77,-9.06,39.2,40,4.7,93
501,CN,39.23,106.34,19.01,0,2.71,66
502,ID,-0.86,131.25,80.93,20,13.44,100
503,NO,60.82,9.55,25.31,0,4.38,69
504,PG,-7.96,145.78,71.75,88,2.37,93
505,RU,63.19,64.42,34.0,56,9.98,68
506,MY,2.43,103.84,78.68,64,2.59,97
507,FR,48.65,-2.02,46.4,44,11.41,75
508,BR,-19.91,-48.39,77.83,76,9.64,82
509,PF,-16.52,-151.75,77.2,80,5.95,100
510,RU,58.76,27.79,37.46,88,20.94,100
511,ID,-0.92,100.36,80.71,80,2.93,100
512,PG,-5.21,145.81,75.49,92,3.94,100
513,PK,33.24,72.27,62.26,0,2.93,83
514,PT,40.36,-7.35,45.83,0,11.77,64
515,GB,53.52,-2.49,42.8,0,8.05,60
516,IN,16.84,73.55,65.68,0,2.59,74
517,NU,-19.06,-169.92,73.4,100,3.36,100
518,GB,51.94,-0.88,39.2,88,12.75,86
519,NZ,-39.19,173.88,55.55,80,8.08,100
520,IN,20.3,75.65,71.6,40,2.71,60
521,LY,26.59,12.77,73.46,0,6.73,33
522,CA,48.65,-53.11,44.93,0,21.27,88
523,GB,51.28,1.34,42.8,56,14.99,81
524,IR,34.27,47.59,51.8,40,6.93,76
525,KE,-0.33,37.65,64.51,80,0.69,97
526,GL,68.31,-53.46,32.83,80,3.15,94
527,JP,43.11,144.15,41.38,0,4.83,91
528,BR,-9.01,-35.22,84.04,0,14.34,66
529,BR,-7.52,-72.89,86.0,75,6.93,66
530,MA,35.57,-5.37,66.2,75,18.34,72
531,HR,45.29,18.06,64.4,0,6.93,55
532,BR,-11.09,-43.14,99.25,24,6.17,31
533,GH,8.05,-1.73,80.44,12,6.06,97
534,RU,52.25,79.17,47.05,44,14.23,50
535,BF,11.5,0.06,89.71,36,4.38,46
536,TM,38.44,57.43,52.45,88,8.86,91
537,RO,46.72,26.47,59.0,0,9.17,58
538,ES,27.91,-15.45,71.6,40,9.17,83
539,LA,20.27,100.41,73.4,40,3.71,100
540,CM,5.73,10.9,68.2,8,0.92,90
541,US,38.36,-98.78,69.8,1,8.05,37
542,US,37.17,-99.65,71.98,0,8.19,36
543,US,39.15,-123.21,64.4,1,2.82,68
544,US,25.77,-80.19,87.8,75,9.17,66
545,RU,54.7,78.67,49.48,68,15.68,51
546,OM,22.57,59.53,82.06,56,11.65,93
547,CA,60.75,-137.51,17.89,0,2.15,89
548,GD,12.16,-61.73,86.0,20,14.99,70
549,MY,6.89,116.84,77.0,75,1.12,94
550,UZ,40.56,65.69,68.0,92,9.17,40
551,IT,45.76,8.56,59.0,75,16.11,100
552,MA,29.7,-9.73,63.79,92,5.06,100
553,ES,41.32,2.1,55.4,75,1.12,82
554,MU,-19.98,57.61,69.8,40,4.7,83
555,DO,18.87,-71.52,81.56,12,3.04,69
556,RU,52.16,109.78,34.76,92,5.73,85
557,US,32.0,-80.97,64.4,75,12.75,68
558,MU,-20.21,57.76,69.8,40,4.7,83
